,sch9/wt,ras2/wt,tor1/wt,centroid
378,0.2742619,-0.1123383,0.2885169,5.0
379,0.492793,0.7644261,0.09169116,0.0
380,-0.05480661,0.2700365,-0.1469831,2.0
381,-0.315918,-0.04673019,-0.2082112,2.0
382,0.2428053,0.2028133,0.4457984,5.0
383,-0.9364228,-0.7257822,-0.9713419,3.0
384,-2.01067,-1.316153,-2.02267,3.0
385,-0.228164,0.2488453,-0.2544885,2.0
386,-0.3993387,-1.136445,-0.05910969,1.0
387,1.02371,0.8818098,1.196035,0.0
388,0.5862225,0.351292,0.5621204,5.0
389,0.08093333,-0.2228825,-0.2719573,2.0
390,0.1331001,-0.1040515,0.1126514,2.0
391,-0.4731983,-0.5500782,0.08168986,1.0
392,0.4640158,0.4663644,0.131049,5.0
393,0.6622411,0.7876921,0.8103311,0.0
394,-0.08822317,0.594163,-0.1577155,5.0
395,-0.1433859,-0.000630472,-0.2226437,2.0
396,0.1120186,-0.06744984,0.01990934,2.0
397,0.1992775,-0.06247608,0.09363402,2.0
398,0.5153296,0.1237964,0.3393098,5.0
399,-0.4322145,-1.197879,-0.6552396,3.0
400,-0.1196609,-0.04528321,0.1588377,2.0
401,0.567186,0.1181879,0.6736455,5.0
402,0.491608,0.1788874,0.3328392,5.0
403,-0.3430144,-0.04775809,-0.3776167,2.0
404,-0.2999738,-0.7924776,-0.3104973,1.0
405,-0.4282841,-0.5129306,-0.4283734,1.0
406,0.3558126,0.1807978,0.1504207,5.0
407,1.003496,0.886086,0.8483843,0.0
408,-0.2501643,0.02139685,-0.001194796,2.0
409,-0.1729257,-0.5664521,-0.2709361,1.0
410,0.1476634,0.1066097,0.2167355,5.0
411,-0.751847,0.437387,-0.2490089,2.0
412,0.2749304,0.4965672,0.562214,5.0
413,-0.4774332,-1.066212,-0.3049683,1.0
414,0.1596209,0.2102248,0.07565335,5.0
415,-0.1687271,-0.5116597,0.05037581,1.0
416,-0.2064025,-0.354667,-0.5229991,1.0
417,-0.9799142,-0.710657,-0.7581406,3.0
418,0.07861388,0.6936609,0.2026253,5.0
419,-0.4715475,-0.36599,-0.392844,1.0
420,-0.08705042,-0.2531339,-0.1371555,2.0
421,-0.4987729,-0.2117834,-0.6881752,1.0
422,0.05022692,0.4573374,0.05423964,5.0
